periodo,zona_origen,zona_destino,car_opeak,car_peak,tm_opeak,tm_peak
0,a1,a1,6.05,6.05,8.70352,9.07501
0,a1,a10,14.063,14.063,20.231,21.0945
0,a1,a100,27.336,27.336,39.3255,41.0041
0,a1,a101,27.9932,27.9932,40.2709,41.9898
0,a1,a102,31.3303,31.3303,45.0716,46.9954
0,a1,a103,33.0937,33.0937,47.6085,49.6406
0,a1,a104,32.0009,32.0009,46.0363,48.0013
0,a1,a105,28.0767,28.0767,40.3911,42.1151
0,a1,a106,34.7778,34.7778,50.0313,52.1668
0,a1,a107,31.4697,31.4697,45.2722,47.2046
0,a1,a108,37.2962,37.2962,53.6542,55.9443
0,a1,a109,31.1637,31.1637,44.832,46.7455
0,a1,a11,17.153,17.153,24.6762,25.7295
0,a1,a110,33.5662,33.5662,48.2882,50.3492
0,a1,a111,26.9912,26.9912,38.8295,40.4869
0,a1,a112,33.4022,33.4022,48.0523,50.1033
0,a1,a113,53.4569,53.4569,76.9028,80.1853
0,a1,a114,124.086,124.086,178.51,186.129
0,a1,a115,22.6448,22.6448,32.5767,33.9671
0,a1,a116,28.6481,28.6481,43.6348,42.9722
0,a1,a117,90.3843,90.3843,130.027,135.577
0,a1,a118,44.1102,44.1102,66.1671,66.1653
0,a1,a119,60.5006,60.5006,91.8536,90.7509
0,a1,a12,7.4821,7.4821,10.7637,11.2232
0,a1,a120,51.7988,51.7988,74.5175,77.6982
0,a1,a121,32.5377,32.5377,46.8086,48.8066
0,a1,a122,52.4202,52.4202,75.4116,78.6303
0,a1,a123,49.4394,49.4394,71.1234,74.1591
0,a1,a124,53.7189,53.7189,77.2798,80.5783
0,a1,a125,59.6837,59.6837,85.8608,89.5255
0,a1,a126,34.9889,34.9889,52.5869,52.4834
0,a1,a127,64.3862,64.3862,92.6257,96.5792
0,a1,a13,9.04702,9.04702,13.015,13.5705
0,a1,a14,11.818,11.818,17.0013,17.727
0,a1,a15,16.403,16.403,23.5973,24.6045
0,a1,a16,20.8319,20.8319,29.9687,31.2478
0,a1,a17,23.7761,23.7761,34.2043,35.6642
0,a1,a18,10.8429,10.8429,15.5985,16.2643
0,a1,a19,15.674,15.674,22.5486,23.511
0,a1,a2,6.31193,6.31193,9.41647,9.4679
0,a1,a20,20.0238,20.0238,28.8062,30.0358
0,a1,a21,23.4308,23.4308,33.7075,35.1462
0,a1,a22,14.7178,14.7178,21.173,22.0767
0,a1,a23,18.509,18.509,26.6269,27.7635
0,a1,a24,21.6903,21.6903,31.2036,32.5354
0,a1,a25,24.2052,24.2052,34.8215,36.3078
0,a1,a26,25.1261,25.1261,36.1463,37.6891
0,a1,a27,46.004,46.004,66.1812,69.006
0,a1,a28,41.8406,41.8406,60.1918,62.7609
0,a1,a29,45.4933,45.4933,65.4466,68.24
0,a1,a3,11.3641,11.3641,16.3484,17.0462
0,a1,a30,39.7555,39.7555,57.1922,59.6333
0,a1,a31,43.1185,43.1185,62.0301,64.6778
0,a1,a32,35.0081,35.0081,50.3625,52.5122
0,a1,a33,37.9542,37.9542,54.6008,56.9313
0,a1,a34,40.2778,40.2778,57.9435,60.4167
0,a1,a35,36.14,36.14,51.9908,54.2099
0,a1,a36,38.7046,38.7046,55.6804,58.057
0,a1,a37,42.2039,42.2039,60.7144,63.3059
0,a1,a38,36.5967,36.5967,52.6479,54.8951
0,a1,a39,37.4638,37.4638,53.8952,56.1956
0,a1,a4,6.05,6.05,9.20221,9.075
0,a1,a40,40.0738,40.0738,57.6501,60.1108
0,a1,a41,35.5538,35.5538,51.1476,53.3307
0,a1,a42,40.1199,40.1199,57.7164,60.1799
0,a1,a43,43.4458,43.4458,62.501,65.1687
0,a1,a44,44.1291,44.1291,63.4839,66.1936
0,a1,a45,50.3365,50.3365,72.4139,75.5047
0,a1,a46,52.6724,52.6724,75.7743,79.0086
0,a1,a47,56.8134,56.8134,81.7315,85.2201
0,a1,a48,44.419,44.419,63.901,66.6285
0,a1,a49,47.0803,47.0803,67.7295,70.6204
0,a1,a5,7.5831,7.5831,11.4186,11.3747
0,a1,a50,49.976,49.976,71.8953,74.964
0,a1,a51,50.2247,50.2247,72.2531,75.3371
0,a1,a52,53.0378,53.0378,76.3,79.5567
0,a1,a53,55.7312,55.7312,80.1748,83.5969
0,a1,a54,57.2174,57.2174,82.3128,85.8261
0,a1,a55,51.9303,51.9303,74.7067,77.8954
0,a1,a56,61.1639,61.1639,87.9901,91.7458
0,a1,a57,46.6362,46.6362,67.0907,69.9544
0,a1,a58,49.7974,49.7974,71.6384,74.6961
0,a1,a59,57.6456,57.6456,82.9288,86.4684
0,a1,a6,9.83892,9.83892,14.7603,14.7584
0,a1,a60,44.6134,44.6134,64.1807,66.9201
0,a1,a61,48.1089,48.1089,69.2093,72.1634
0,a1,a62,50.5232,50.5232,72.6825,75.7849
0,a1,a63,52.2153,52.2153,75.1168,78.323
0,a1,a64,47.8695,47.8695,68.8649,71.8042
0,a1,a65,48.6479,48.6479,69.9847,72.9718
0,a1,a66,23.3369,23.3369,34.9337,35.0054
0,a1,a67,26.0443,26.0443,37.4672,39.0664
0,a1,a68,27.5526,27.5526,39.6371,41.3289
0,a1,a69,32.7337,32.7337,48.904,49.1006
0,a1,a7,9.4471,9.4471,13.5906,14.1707
0,a1,a70,35.6424,35.6424,51.275,53.4635
0,a1,a71,39.5642,39.5642,56.9169,59.3463
0,a1,a72,39.0423,39.0423,56.1661,58.5635
0,a1,a73,40.43,40.43,58.1624,60.645
0,a1,a74,40.8696,40.8696,58.7948,61.3044
0,a1,a75,39.4995,39.4995,56.8239,59.2493
0,a1,a76,42.9852,42.9852,61.8383,64.4777
0,a1,a77,41.371,41.371,59.5162,62.0565
0,a1,a78,43.0599,43.0599,61.9458,64.5898
0,a1,a79,45.3967,45.3967,65.3076,68.0951
0,a1,a8,12.6648,12.6648,18.2196,18.9973
0,a1,a80,47.0165,47.0165,67.6378,70.5248
0,a1,a81,47.7857,47.7857,68.7443,71.6785
0,a1,a82,49.3105,49.3105,70.938,73.9658
0,a1,a83,25.7441,25.7441,37.0354,38.6161
0,a1,a84,56.8384,56.8384,81.7676,85.2577
0,a1,a85,30.024,30.024,43.1924,45.0359
0,a1,a86,34.1672,34.1672,49.1528,51.2508
0,a1,a87,35.9027,35.9027,51.6495,53.854
0,a1,a88,35.8438,35.8438,51.5648,53.7658
0,a1,a89,38.1196,38.1196,54.8388,57.1794
0,a1,a9,19.3143,19.3143,27.7854,28.9714
0,a1,a90,38.0187,38.0187,54.6935,57.028
0,a1,a91,40.5377,40.5377,58.3174,60.8066
0,a1,a92,20.371,20.371,29.3056,30.5564
0,a1,a93,23.0888,23.0888,33.2154,34.6332
0,a1,a94,29.3329,29.3329,42.1983,43.9994
0,a1,a95,28.5342,28.5342,41.0492,42.8013
0,a1,a96,30.3604,30.3604,43.6763,45.5406
0,a1,a97,33.3121,33.3121,47.9226,49.9681
0,a1,a98,27.4247,27.4247,39.4531,41.1371
0,a1,a99,29.2316,29.2316,42.0525,43.8474
0,a10,a1,12.9059,12.9059,18.2834,19.3589
0,a10,a10,6.05002,6.05002,37.4276,31.1023
0,a10,a100,21.0601,21.0601,29.8351,31.5901
0,a10,a101,18.3358,18.3358,74.8465,62.1974
0,a10,a102,22.6262,22.6262,32.0538,33.9393
0,a10,a103,23.6221,23.6221,25.144,20.8946
0,a10,a104,22.9253,22.9253,32.4774,34.3879
0,a10,a105,21.2791,21.2791,30.1454,31.9187
0,a10,a106,25.4178,25.4178,74.8156,62.1717
0,a10,a107,24.7827,24.7827,35.1088,37.1741
0,a10,a108,31.5006,31.5006,74.8458,62.1968
0,a10,a109,24.7843,24.7843,35.1111,37.1765
0,a10,a11,6.04997,6.04997,54.8029,45.5412
0,a10,a110,27.3698,27.3698,38.7739,41.0547
0,a10,a111,21.103,21.103,29.8959,31.6544
0,a10,a112,27.2406,27.2406,38.5909,40.861
0,a10,a113,62.7949,62.7949,88.9595,94.1924
0,a10,a114,112.116,112.116,158.831,168.174
0,a10,a115,31.7809,31.7809,45.023,47.6714
0,a10,a116,34.6029,34.6029,52.0511,51.9044
0,a10,a117,87.7248,87.7248,124.277,131.587
0,a10,a118,41.9467,41.9467,62.5629,62.9201
0,a10,a119,57.8279,57.8279,81.9229,86.7419
0,a10,a12,11.8209,11.8209,44.0709,36.6229
0,a10,a120,44.1418,44.1418,62.5342,66.2127
0,a10,a121,41.9686,41.9686,59.4555,62.9529
0,a10,a122,42.4705,42.4705,60.1665,63.7057
0,a10,a123,39.468,39.468,55.913,59.202
0,a10,a124,43.7055,43.7055,61.9162,65.5583
0,a10,a125,49.7005,49.7005,70.409,74.5508
0,a10,a126,44.1608,44.1608,65.6754,66.2412
0,a10,a127,73.4837,73.4837,104.102,110.226
0,a10,a13,9.24895,9.24895,74.8261,62.1804
0,a10,a14,6.61496,6.61496,6.01685,5
0,a10,a15,7.89297,7.89297,38.633,32.104
0,a10,a16,11.8119,11.8119,15.4588,12.8463
0,a10,a17,14.6731,14.6731,52.2593,43.4274
0,a10,a18,10.587,10.587,15.8122,15.8805
0,a10,a19,10.8771,10.8771,74.8085,62.1658
0,a10,a2,15.796,15.796,22.3777,23.6941
0,a10,a20,11.4851,11.4851,43.5639,36.2015
0,a10,a21,16.4963,16.4963,40.0248,33.2606
0,a10,a22,14.55,14.55,34.4544,28.6316
0,a10,a23,14.864,14.864,40.8124,33.9151
0,a10,a24,16.0178,16.0178,74.7914,62.1515
0,a10,a25,17.7022,17.7022,55.8156,46.3827
0,a10,a26,19.3091,19.3091,27.3546,28.9637
0,a10,a27,36.5441,36.5441,51.7708,54.8161
0,a10,a28,32.1451,32.1451,45.5389,48.2177
0,a10,a29,36.7064,36.7064,52.0008,55.0597
0,a10,a3,24.1062,24.1062,34.1505,36.1594
0,a10,a30,30.7346,30.7346,74.3837,61.8128
0,a10,a31,33.7371,33.7371,31.2779,25.9919
0,a10,a32,25.877,25.877,74.8528,62.2026
0,a10,a33,28.4532,28.4532,65.4937,54.4252
0,a10,a34,30.9644,30.9644,61.2401,50.8904
0,a10,a35,26.3672,26.3672,74.8383,62.1905
0,a10,a36,29.263,29.263,68.8634,57.2254
0,a10,a37,31.7848,31.7848,74.1076,61.5834
0,a10,a38,26.8673,26.8673,74.8371,62.1896
0,a10,a39,29.0332,29.0332,74.8336,62.1867
0,a10,a4,11.573,11.573,16.395,17.3594
0,a10,a40,31.4172,31.4172,74.8348,62.1877
0,a10,a41,28.4062,28.4062,43.3692,36.0398
0,a10,a42,32.6089,32.6089,46.1959,48.9133
0,a10,a43,35.5894,35.5894,64.2963,53.4301
0,a10,a44,34.2007,34.2007,42.6761,35.4638
0,a10,a45,40.8616,40.8616,57.8873,61.2924
0,a10,a46,43.1868,43.1868,61.1813,64.7803
0,a10,a47,47.1328,47.1328,66.7715,70.6992
0,a10,a48,34.6605,34.6605,55.3999,46.0372
0,a10,a49,38.0961,38.0961,74.4041,61.8297
0,a10,a5,9.99208,9.99208,27.0686,22.4939
0,a10,a50,40.1465,40.1465,56.8741,60.2197
0,a10,a51,40.4663,40.4663,45.7481,38.0166
0,a10,a52,43.2783,43.2783,61.311,64.9175
0,a10,a53,45.9573,45.9573,65.1061,68.9359
0,a10,a54,47.4579,47.4579,67.2321,71.1869
0,a10,a55,42.1705,42.1705,59.7416,63.2558
0,a10,a56,51.4046,51.4046,72.8232,77.1069
0,a10,a57,36.8396,36.8396,46.6741,38.7861
0,a10,a58,39.8973,39.8973,56.5211,59.8459
0,a10,a59,47.8854,47.8854,67.8377,71.8281
0,a10,a6,9.75609,9.75609,13.8211,14.6341
0,a10,a60,34.7296,34.7296,42.4983,35.3161
0,a10,a61,38.1628,38.1628,54.064,57.2442
0,a10,a62,40.5839,40.5839,57.4938,60.8758
0,a10,a63,42.266,42.266,59.8769,63.3991
0,a10,a64,37.8831,37.8831,58.9744,49.0077
0,a10,a65,38.7102,38.7102,54.8394,58.0653
0,a10,a66,19.6181,19.6181,29.1235,29.4272
0,a10,a67,20.3262,20.3262,28.7955,30.4894
0,a10,a68,23.9212,23.9212,35.1311,35.8819
0,a10,a69,26.5146,26.5146,39.2047,39.7719
0,a10,a7,7.67895,7.67895,26.9473,22.3932
0,a10,a70,29.3668,29.3668,41.603,44.0502
0,a10,a71,33.2846,33.2846,47.1531,49.9269
0,a10,a72,33.3952,33.3952,47.3099,50.0929
0,a10,a73,33.2415,33.2415,47.0921,49.8622
0,a10,a74,33.4033,33.4033,47.3214,50.105
0,a10,a75,32.0291,32.0291,59.8421,49.7287
0,a10,a76,35.5455,35.5455,50.3562,53.3183
0,a10,a77,33.9386,33.9386,62.7494,52.1447
0,a10,a78,35.6552,35.6552,50.5115,53.4828
0,a10,a79,38.001,38.001,53.8348,57.0016
0,a10,a8,6.09595,6.09595,74.8534,62.2031
0,a10,a80,38.9722,38.9722,56.6469,47.0735
0,a10,a81,40.4027,40.4027,57.2371,60.604
0,a10,a82,41.8527,41.8527,59.2913,62.779
0,a10,a83,15.9342,15.9342,22.5735,23.9013
0,a10,a84,45.8785,45.8785,64.9945,68.8177
0,a10,a85,20.466,20.466,28.9935,30.699
0,a10,a86,26.1762,26.1762,37.083,39.2643
0,a10,a87,26.9446,26.9446,74.8552,62.2046
0,a10,a88,26.8781,26.8781,68.7465,57.1283
0,a10,a89,28.9148,28.9148,53.2544,44.2543
0,a10,a9,8.50185,8.50185,12.0443,12.7528
0,a10,a90,29.562,29.562,74.8509,62.201
0,a10,a91,30.8272,30.8272,43.6719,46.2408
0,a10,a92,12.7331,12.7331,42.042,34.9369
0,a10,a93,15.9268,15.9268,59.8123,49.704
0,a10,a94,20.2959,20.2959,47.614,39.5672
0,a10,a95,18.8621,18.8621,57.7598,47.9983
0,a10,a96,20.5541,20.5541,74.834,62.187
0,a10,a97,22.922,22.922,43.7091,36.3223
0,a10,a98,15.8159,15.8159,22.4059,23.7239
0,a10,a99,21.3997,21.3997,30.3162,32.0995
0,a100,a1,29.0048,29.0048,48.3984,43.5072
0,a100,a10,18.5319,18.5319,30.923,27.7979
0,a100,a100,2.26367,2.26367,3.77723,3.3955
0,a100,a101,7.95097,7.95097,13.2673,11.9265
0,a100,a102,10.307,10.307,17.1986,15.4605
0,a100,a103,12.8568,12.8568,21.4533,19.2852
0,a100,a104,7.51094,7.51094,12.533,11.2664
